model,precision,recall,f1,iou_pos,acc,TP,FP,FN,TN,valid_pixels
UNET,0.982324,0.992968,0.987617,0.975538,0.988431,197402,3552,1398,225510,427862
RF,0.98037,0.991298,0.985803,0.972004,0.986734,197070,3946,1730,225116,427862
